Symbols,count,actual_rank_sum,actual_negative_rank_sum,actual_min_rank_sum,up_down_tuple,total_rank_sum,total_rank_sum_lt_actual_rs,random_ranks,negative_random_ranks,rank_sum,negative_rank_sum,auc,is_min_enough
PML,"[-1, 1, -1]",386,856,386,"(1, 2)",45939629,3448919,"[86, 84, 412]",[328 330   2],582,660,0.07507502944788692,True
PPARA,"[1, 1, -1, 1, 1]",627,1443,627,"(4, 1)",82904266,2954984,"[92, 141, 283, 121, 50]",[322 273 131 293 364],687,1383,0.03564332865572925,True
PPARD,"[1, 1, 1, -1]",1019,637,637,"(3, 1)",64347210,10579140,"[389, 365, 59, 412]",[ 25  49 355   2],1225,431,0.1644071281412201,False
PPARG,"[1, 1, -1]",207,1035,207,"(2, 1)",46001559,281834,"[6, 300, 273]",[408 114 141],579,663,0.006126618447866082,True
RB1,"[1, -1, -1]",612,630,612,"(1, 2)",45898452,21868016,"[389, 293, 412]",[ 25 121   2],1094,148,0.4764434321227217,False
RBMX,"[-1, 1, -1]",841,401,401,"(1, 2)",45988116,3974172,"[364, 355, 328]",[50 59 86],1047,195,0.08641736921773442,True
RBPJ,"[1, 1, 1]",717,525,525,"(3, 0)",45232410,12855725,"[365, 330, 92]",[ 49  84 322],787,455,0.2842149025444366,False
RELA,"[1, 1, -1, 1, 1, 1, 1, 1, 1]",2082,1644,1644,"(8, 1)",159044481,37691018,"[283, 20, 153, 364, 389, 2, 99, 300, 261]",[131 394 261  50  25 412 315 114 153],1871,1855,0.23698413024467035,False
RUNX3,"[-1, 1, -1, 1, -1, -1, 1]",712,2186,712,"(3, 4)",122150002,304564,"[389, 86, 59, 315, 322, 49, 328]",[ 25 328 355  99  92 365  86],1548,1350,0.0024933605813612677,True
SIRT1,"[-1, -1, -1]",569,673,569,"(0, 3)",45206295,16970873,"[412, 25, 50]",[  2 389 364],487,755,0.3754095087863316,False
SMARCA4,"[1, 1, -1, -1]",400,1256,400,"(2, 2)",64774417,898523,"[6, 200, 49, 328]",[408 214 365  86],583,1073,0.013871572167141234,True
SNAI1,"[-1, 1, -1]",363,879,363,"(1, 2)",45900975,2738284,"[86, 322, 355]",[328  92  59],763,479,0.05965633627608128,True
SOX6,"[-1, -1, 1]",313,929,313,"(1, 2)",45929013,1518913,"[365, 214, 49]",[ 49 200 365],628,614,0.033070882668434436,True
SP1,"[1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2994,2802,2802,"(13, 1)",255872183,103005185,"[330, 92, 2, 200, 365, 153, 86, 6, 2, 364, 121, 141, 300, 49]",[ 84 322 412 214  49 261 328 408 412  50 293 273 114 365],2211,3585,0.402564998634494,False
SP3,"[1, 1, 1]",350,892,350,"(3, 0)",45313017,2583125,"[364, 141, 92]",[ 50 273 322],597,645,0.05700624613011312,True
SRF,"[1, 1, 1]",408,834,408,"(3, 0)",45267968,4875622,"[6, 300, 99]",[408 114 315],405,837,0.10770578436390164,True
STAT1,"[1, -1, 1, 1, -1, 1, 1, 1, 1]",1674,2052,1674,"(7, 2)",160157579,41624487,"[300, 365, 364, 283, 153, 20, 92, 261, 214]",[114  49  50 131 261 394 322 153 200],2052,1674,0.2598970792384418,False
STAT3,"[1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, -1, 1, -1, 1]",3932,3520,3520,"(15, 3)",338033349,102745119,"[389, 283, 59, 200, 364, 300, 2, 2, 153, 330, 92, 20, 365, 121, 141, 114, 412, 273]",[ 25 131 355 214  50 114 412 412 261  84 322 394  49 293 273 300   2 141],3620,3832,0.30394965261252965,False
STAT4,"[1, 1, 1, -1]",952,704,704,"(3, 1)",64430144,16678726,"[330, 283, 92, 114]",[ 84 131 322 300],819,837,0.25886526033528656,False
STAT5A,"[1, 1, 1]",349,893,349,"(3, 0)",45267954,2576861,"[300, 92, 330]",[114 322  84],722,520,0.05692461824097462,True
STAT6,"[1, -1, 1]",655,587,587,"(2, 1)",45986209,19074720,"[2, 141, 322]",[412 273  92],465,777,0.4147921825867403,False
TFAP2A,"[1, -1, 1]",675,567,567,"(2, 1)",45918753,16956757,"[141, 2, 322]",[273 412  92],465,777,0.36927738434011914,False
TP53,"[-1, 1, 1, -1, 1, 1, 1, 1, -1, -1, 1, 1, 1, 1, -1, 1, 1]",2834,4204,2834,"(12, 5)",321103204,10137591,"[364, 300, 2, 86, 141, 330, 389, 365, 20, 153, 283, 121, 412, 214, 25, 261, 355]",[ 50 114 412 328 273  84  25  49 394 261 131 293   2 200 389 153  59],3821,3217,0.0315711300096526,True
TP63,"[1, -1, 1, 1, -1]",853,1217,853,"(3, 2)",83528538,16531816,"[2, 389, 6, 412, 131]",[412  25 408   2 283],940,1130,0.19791817737789208,False
USF1,"[1, 1, 1]",986,256,256,"(3, 0)",45305896,750244,"[365, 330, 141]",[ 49  84 273],836,406,0.0165595224074147,True
USF2,"[1, 1, 1]",772,470,470,"(3, 0)",45237526,8575877,"[2, 153, 141]",[412 261 273],296,946,0.18957440333938685,False
ZBTB17,"[-1, -1, 1, -1]",1052,604,604,"(1, 3)",64335819,8188531,"[20, 49, 394, 214]",[394 365  20 200],677,979,0.12727794760800357,True
